Время: | 37.4 | Температура: | 36.39 |
Время: | 37.5 | Температура: | 36.38 |
Время: | 37.6 | Температура: | 36.38 |
Время: | 37.7 | Температура: | 36.38 |
Время: | 37.8 | Температура: | 36.38 |
Время: | 37.9 | Температура: | 36.37 |
Время: | 38.0 | Температура: | 36.37 |
Время: | 38.1 | Температура: | 36.37 |
Время: | 38.2 | Температура: | 36.37 |
Время: | 38.3 | Температура: | 36.37 |
Время: | 38.4 | Температура: | 36.36 |
Время: | 38.5 | Температура: | 36.36 |
Время: | 38.6 | Температура: | 36.36 |
Время: | 38.7 | Температура: | 36.36 |
Время: | 38.8 | Температура: | 36.36 |
Время: | 38.9 | Температура: | 36.35 |
Время: | 39.0 | Температура: | 36.35 |
Время: | 39.1 | Температура: | 36.35 |
Время: | 39.2 | Температура: | 36.35 |
Время: | 39.3 | Температура: | 36.35 |
Время: | 39.4 | Температура: | 36.35 |
Время: | 39.5 | Температура: | 36.34 |
Время: | 39.6 | Температура: | 36.34 |
Время: | 39.7 | Температура: | 36.34 |
Время: | 39.8 | Температура: | 36.34 |
Время: | 39.9 | Температура: | 36.34 |
Время: | 40.0 | Температура: | 36.34 |
Время: | 40.1 | Температура: | 36.34 |
Время: | 40.2 | Температура: | 36.33 |
Время: | 40.3 | Температура: | 36.33 |
Время: | 40.4 | Температура: | 36.33 |
Время: | 40.5 | Температура: | 36.33 |
Время: | 40.6 | Температура: | 36.33 |
Время: | 40.7 | Температура: | 36.33 |
Время: | 40.8 | Температура: | 36.33 |
Время: | 40.9 | Температура: | 36.32 |
Время: | 41.0 | Температура: | 36.32 |
Время: | 41.1 | Температура: | 36.32 |
Время: | 41.2 | Температура: | 36.32 |
Время: | 41.3 | Температура: | 36.32 |
Время: | 41.4 | Температура: | 36.32 |
Время: | 41.5 | Температура: | 36.32 |
Время: | 41.6 | Температура: | 36.32 |
Время: | 41.7 | Температура: | 36.31 |
Время: | 41.8 | Температура: | 36.31 |
Время: | 41.9 | Температура: | 36.31 |
Время: | 42.0 | Температура: | 36.31 |
Время: | 42.1 | Температура: | 36.31 |
Время: | 42.2 | Температура: | 36.31 |
Время: | 42.3 | Температура: | 36.31 |
Время: | 42.4 | Температура: | 36.31 |
Время: | 42.5 | Температура: | 36.31 |
Время: | 42.6 | Температура: | 36.31 |
Время: | 42.7 | Температура: | 36.3 |
Время: | 42.8 | Температура: | 36.3 |
Время: | 42.9 | Температура: | 36.3 |
Время: | 43.0 | Температура: | 36.3 |
Время: | 43.1 | Температура: | 36.3 |
Время: | 43.2 | Температура: | 36.3 |
Время: | 43.3 | Температура: | 36.3 |
Время: | 43.4 | Температура: | 36.3 |
Время: | 43.5 | Температура: | 36.3 |
Время: | 43.6 | Температура: | 36.3 |
Время: | 43.7 | Температура: | 36.3 |
Время: | 43.8 | Температура: | 36.29 |
Время: | 43.9 | Температура: | 36.29 |
Время: | 44.0 | Температура: | 36.29 |
Время: | 44.1 | Температура: | 36.29 |
Время: | 44.2 | Температура: | 36.29 |
Время: | 44.3 | Температура: | 36.29 |
Время: | 44.4 | Температура: | 36.29 |
Время: | 44.5 | Температура: | 36.29 |
Время: | 44.6 | Температура: | 36.29 |
Время: | 44.7 | Температура: | 36.29 |
Время: | 44.8 | Температура: | 36.29 |
Время: | 44.9 | Температура: | 36.29 |
Время: | 45.0 | Температура: | 36.29 |
Время: | 45.1 | Температура: | 36.29 |
Время: | 45.2 | Температура: | 36.29 |
Время: | 45.3 | Температура: | 36.28 |
Время: | 45.4 | Температура: | 36.28 |
Время: | 45.5 | Температура: | 36.28 |
Время: | 45.6 | Температура: | 36.28 |
Время: | 45.7 | Температура: | 36.28 |
Время: | 45.8 | Температура: | 36.28 |
Время: | 45.9 | Температура: | 36.28 |
Время: | 46.0 | Температура: | 36.28 |
Время: | 46.1 | Температура: | 36.28 |
Время: | 46.2 | Температура: | 36.28 |
Время: | 46.3 | Температура: | 36.28 |
Время: | 46.4 | Температура: | 36.28 |
Время: | 46.5 | Температура: | 36.28 |
Время: | 46.6 | Температура: | 36.28 |
Время: | 46.7 | Температура: | 36.28 |
Время: | 46.8 | Температура: | 36.28 |
Время: | 46.9 | Температура: | 36.28 |
Время: | 47.0 | Температура: | 36.28 |
Время: | 47.1 | Температура: | 36.28 |
Время: | 47.2 | Температура: | 36.27 |
Время: | 47.3 | Температура: | 36.27 |
Время: | 47.4 | Температура: | 36.27 |
Время: | 47.5 | Температура: | 36.27 |
Время: | 47.6 | Температура: | 36.27 |
Время: | 47.7 | Температура: | 36.27 |
Время: | 47.8 | Температура: | 36.27 |
Время: | 47.9 | Температура: | 36.27 |
Время: | 48.0 | Температура: | 36.27 |
Время: | 48.1 | Температура: | 36.27 |
Время: | 48.2 | Температура: | 36.27 |
Время: | 48.3 | Температура: | 36.27 |
Время: | 48.4 | Температура: | 36.27 |
Время: | 48.5 | Температура: | 36.27 |
Время: | 48.6 | Температура: | 36.27 |
Время: | 48.7 | Температура: | 36.27 |
Время: | 48.8 | Температура: | 36.27 |
Время: | 48.9 | Температура: | 36.27 |
